Title,Year,IMDB,Dynamic IMDB,IMDB Difference,Metacritic,Dynamic Metacritic,Metacritic Difference,Original Rating,Dynamic Rating,Rating Difference
The Godfather,1972,92,93.57,1.57,100,98.12,-1.88,96.0,95.84,-0.16
The Shawshank Redemption,1994,93,100.0,7.0,80,71.03,-8.97,86.5,85.52,-0.98
Schindler's List,1993,89,78.35,-10.65,94,90.14,-3.86,91.5,84.25,-7.25
Pulp Fiction,1994,89,78.54,-10.46,94,89.87,-4.13,91.5,84.21,-7.29
The Godfather: Part II,1974,90,83.2,-6.8,90,85.14,-4.86,90.0,84.17,-5.83
The Lord of the Rings: The Return of the King,2003,89,79.13,-9.87,94,87.46,-6.54,91.5,83.29,-8.21
12 Angry Men,1957,90,79.22,-10.78,96,83.13,-12.87,93.0,81.17,-11.83
The Lord of the Rings: The Fellowship of the Ring,2001,88,73.98,-14.02,92,85.25,-6.75,90.0,79.62,-10.38
The Dark Knight,2008,90,83.65,-6.35,84,72.96,-11.04,87.0,78.31,-8.69
"Il buono, il brutto, il cattivo",1966,88,72.32,-15.68,90,83.33,-6.67,89.0,77.82,-11.18
Sen to Chihiro no kamikakushi,2001,86,63.3,-22.7,96,90.5,-5.5,91.0,76.9,-14.1
Goodfellas,1990,87,68.15,-18.85,90,85.56,-4.44,88.5,76.86,-11.64
Gisaengchung,2019,86,61.82,-24.18,96,88.25,-7.75,91.0,75.03,-15.97
Star Wars,1977,86,62.67,-23.33,90,86.04,-3.96,88.0,74.36,-13.64
Hotaru no haka,1988,85,57.55,-27.45,94,90.98,-3.02,89.5,74.27,-15.23
Saving Private Ryan,1998,86,63.13,-22.87,91,84.83,-6.17,88.5,73.98,-14.52
The Lord of the Rings: The Two Towers,2002,87,68.43,-18.57,87,78.46,-8.54,87.0,73.44,-13.56
Forrest Gump,1994,88,73.04,-14.96,82,73.67,-8.33,85.0,73.36,-11.64
Psycho,1960,85,55.83,-29.17,97,89.31,-7.69,91.0,72.57,-18.43
One Flew Over the Cuckoo's Nest,1975,87,67.74,-19.26,83,76.07,-6.93,85.0,71.91,-13.09
Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,1964,84,51.39,-32.61,97,92.33,-4.67,90.5,71.86,-18.64
Apocalypse Now,1979,84,52.13,-31.87,94,91.6,-2.4,89.0,71.86,-17.14
Star Wars: Episode V - The Empire Strikes Back,1980,87,67.8,-19.2,82,75.31,-6.69,84.5,71.56,-12.94
Hamilton,2020,86,61.82,-24.18,90,80.37,-9.63,88.0,71.09,-16.91
The Silence of the Lambs,1991,86,62.64,-23.36,85,78.46,-6.54,85.5,70.55,-14.95
Shichinin no samurai,1954,86,58.19,-27.81,98,82.57,-15.43,92.0,70.38,-21.62
Lawrence of Arabia,1962,83,45.41,-37.59,100,94.32,-5.68,91.5,69.86,-21.64
Back to the Future,1985,85,57.68,-27.32,87,81.88,-5.12,86.0,69.78,-16.22
WALL·E,2008,84,51.97,-32.03,95,87.42,-7.58,89.5,69.69,-19.81
The Lion King,1994,85,57.5,-27.5,88,81.82,-6.18,86.5,69.66,-16.84
Toy Story,1995,83,47.27,-35.73,95,91.15,-3.85,89.0,69.21,-19.79
Taxi Driver,1976,83,46.78,-36.22,94,91.23,-2.77,88.5,69.0,-19.5
Alien,1979,84,52.01,-31.99,89,84.7,-4.3,86.5,68.36,-18.14
Fanny och Alexander,1982,81,36.42,-44.58,100,100.0,0.0,90.5,68.21,-22.29
Seppuku,1962,86,61.47,-24.53,85,74.9,-10.1,85.5,68.19,-17.31
Ran,1985,82,41.9,-40.1,96,94.31,-1.69,89.0,68.11,-20.89
Vertigo,1958,83,44.37,-38.63,100,90.54,-9.46,91.5,67.45,-24.05
Trois couleurs: Rouge,1994,81,36.55,-44.45,100,98.18,-1.82,90.5,67.37,-23.13
Whiplash,2014,85,56.8,-28.2,88,77.63,-10.37,86.5,67.22,-19.28
North by Northwest,1959,83,44.79,-38.21,98,89.03,-8.97,90.5,66.91,-23.59
The Pianist,2002,85,57.89,-27.11,85,75.84,-9.16,85.0,66.87,-18.13
Jodaeiye Nader az Simin,2011,83,46.44,-36.56,95,86.94,-8.06,89.0,66.69,-22.31
Pan's Labyrinth,2006,82,41.54,-40.46,98,91.66,-6.34,90.0,66.6,-23.4
Inception,2010,88,72.96,-15.04,74,59.56,-14.44,81.0,66.26,-14.74
Rear Window,1954,84,47.47,-36.53,100,84.58,-15.42,92.0,66.03,-25.97
The Departed,2006,85,57.44,-27.56,85,74.61,-10.39,85.0,66.03,-18.97
The Lives of Others,2006,84,52.14,-31.86,89,79.82,-9.18,86.5,65.98,-20.52
The Apartment,1960,83,45.61,-37.39,94,85.9,-8.1,88.5,65.75,-22.75
Raiders of the Lost Ark,1981,84,52.2,-31.8,85,79.23,-5.77,84.5,65.72,-18.78
Cidade de Deus,2002,86,63.18,-22.82,79,67.87,-11.13,82.5,65.53,-16.97
Amadeus,1984,83,47.1,-35.9,88,82.96,-5.04,85.5,65.03,-20.47
Some Like It Hot,1959,82,39.81,-42.19,98,89.72,-8.28,90.0,64.77,-25.23
Nuovo Cinema Paradiso,1988,85,57.64,-27.36,80,71.89,-8.11,82.5,64.77,-17.73
The Matrix,1999,87,68.62,-18.38,73,60.55,-12.45,80.0,64.59,-15.41
Eternal Sunshine of the Spotless Mind,2004,83,47.35,-35.65,89,80.79,-8.21,86.0,64.07,-21.93
Il conformista,1970,80,30.46,-49.54,100,97.65,-2.35,90.0,64.06,-25.94
Monty Python and the Holy Grail,1975,82,41.19,-40.81,91,86.88,-4.12,86.5,64.03,-22.47
Spider-Man: Into the Spider-Verse,2018,84,51.16,-32.84,87,76.47,-10.53,85.5,63.81,-21.69
Das Boot,1981,83,46.97,-36.03,86,80.62,-5.38,84.5,63.8,-20.7
Once Upon a Time in the West,1968,85,56.86,-28.14,80,70.44,-9.56,82.5,63.65,-18.85
La battaglia di Algeri,1966,81,35.69,-45.31,96,91.54,-4.46,88.5,63.62,-24.88
There Will Be Blood,2007,82,41.42,-40.58,93,85.23,-7.77,87.5,63.33,-24.17
L.A. Confidential,1997,82,41.93,-40.07,90,84.2,-5.8,86.0,63.06,-22.94
Raging Bull,1980,82,41.25,-40.75,89,84.84,-4.16,85.5,63.05,-22.45
Fight Club,1999,88,73.85,-14.15,66,51.38,-14.62,77.0,62.61,-14.39
Platoon,1986,81,36.43,-44.57,92,88.57,-3.43,86.5,62.5,-24.0
Paths of Glory,1957,84,48.8,-35.2,90,76.18,-13.82,87.0,62.49,-24.51
Aliens,1986,83,47.12,-35.88,84,77.78,-6.22,83.5,62.45,-21.05
The Usual Suspects,1995,85,57.79,-27.21,77,66.81,-10.19,81.0,62.3,-18.7
Toy Story 3,2010,82,41.19,-40.81,92,83.04,-8.96,87.0,62.12,-24.88
12 Years a Slave,2013,81,35.83,-45.17,96,88.11,-7.89,88.5,61.97,-26.53
Singin' in the Rain,1952,83,41.44,-41.56,99,81.88,-17.12,91.0,61.66,-29.34
Chinatown,1974,81,35.57,-45.43,92,87.66,-4.34,86.5,61.61,-24.89
Beauty and the Beast,1991,80,30.96,-49.04,95,92.13,-2.87,87.5,61.55,-25.95
American Beauty,1999,83,47.31,-35.69,84,75.5,-8.5,83.5,61.41,-22.09
Rosemary's Baby,1968,80,30.65,-49.35,96,92.03,-3.97,88.0,61.34,-26.66
Memento,2000,84,52.78,-31.22,80,69.82,-10.18,82.0,61.3,-20.7
Cool Hand Luke,1967,81,35.81,-45.19,92,86.57,-5.43,86.5,61.19,-25.31
Portrait de la jeune fille en feu,2019,81,35.42,-45.58,95,86.91,-8.09,88.0,61.16,-26.84
The Man Who Shot Liberty Valance,1962,81,35.35,-45.65,94,86.85,-7.15,87.5,61.1,-26.4
Terminator 2: Judgment Day,1991,85,57.24,-27.76,75,64.85,-10.15,80.0,61.05,-18.95
Tonari no Totoro,1988,82,41.8,-40.2,86,80.01,-5.99,84.0,60.91,-23.09
2001: A Space Odyssey,1968,83,46.14,-36.86,84,75.64,-8.36,83.5,60.89,-22.61
Casablanca,1942,85,48.17,-36.83,100,73.43,-26.57,92.5,60.8,-31.7
The Sting,1973,83,46.11,-36.89,83,75.43,-7.57,83.0,60.77,-22.23
Interstellar,2014,86,62.1,-23.9,74,59.38,-14.62,80.0,60.74,-19.26
Inside Out,2015,81,35.59,-45.41,94,85.48,-8.52,87.5,60.54,-26.96
My Left Foot: The Story of Christy Brown,1989,79,25.89,-53.11,97,95.03,-1.97,88.0,60.46,-27.54
Do the Right Thing,1989,80,31.18,-48.82,93,89.54,-3.46,86.5,60.36,-26.14
Django Unchained,2012,84,51.68,-32.32,81,68.6,-12.4,82.5,60.14,-22.36
The Truman Show,1998,81,36.68,-44.32,90,83.51,-6.49,85.5,60.09,-25.41
Gangs of Wasseypur,2012,82,41.1,-40.9,89,79.04,-9.96,85.5,60.07,-25.43
To Kill a Mockingbird,1962,82,40.71,-41.29,88,79.4,-8.6,85.0,60.06,-24.94
Ratatouille,2007,80,30.87,-49.13,96,89.14,-6.86,88.0,60.01,-27.99
Coco,2017,84,51.32,-32.68,81,68.64,-12.36,82.5,59.98,-22.52
Solaris,1972,81,35.34,-45.66,90,84.46,-5.54,85.5,59.9,-25.6
Spotlight,2015,81,35.54,-45.46,93,84.24,-8.76,87.0,59.89,-27.11
Barry Lyndon,1975,81,35.87,-45.13,89,83.81,-5.19,85.0,59.84,-25.16
Du rififi chez les hommes,1955,82,37.81,-44.19,97,81.85,-15.15,89.5,59.83,-29.67
Unforgiven,1992,82,41.36,-40.64,85,78.27,-6.73,83.5,59.81,-23.69
Annie Hall,1977,80,30.95,-49.05,92,88.55,-3.45,86.0,59.75,-26.25
Up,2009,82,41.28,-40.72,88,78.1,-9.9,85.0,59.69,-25.31
Finding Nemo,2003,81,36.72,-44.28,90,82.42,-7.58,85.5,59.57,-25.93
It's a Wonderful Life,1946,86,54.82,-31.18,89,64.24,-24.76,87.5,59.53,-27.97
Before Sunset,2004,81,36.76,-44.24,90,82.21,-7.79,85.5,59.48,-26.02
No Country for Old Men,2007,81,36.16,-44.84,91,82.46,-8.54,86.0,59.31,-26.69
The Wild Bunch,1969,79,25.18,-53.82,97,93.38,-3.62,88.0,59.28,-28.72
The Last Picture Show,1971,80,30.21,-49.79,93,88.28,-4.72,86.5,59.25,-27.25
Boyhood,2014,79,25.12,-53.88,100,93.34,-6.66,89.5,59.23,-30.27
"Three Billboards Outside Ebbing, Missouri",2017,82,40.61,-41.39,88,77.81,-10.19,85.0,59.21,-25.79
The Great Escape,1963,82,40.84,-41.16,86,77.27,-8.73,84.0,59.05,-24.95
Mononoke-hime,1997,84,52.62,-31.38,76,65.18,-10.82,80.0,58.9,-21.1
Oldeuboi,2003,84,52.57,-31.43,77,65.03,-11.97,80.5,58.8,-21.7
Sweet Smell of Success,1957,80,28.3,-51.7,100,89.28,-10.72,90.0,58.79,-31.21
Touch of Evil,1958,80,28.51,-51.49,99,88.82,-10.18,89.5,58.66,-30.84
Kimi no na wa.,2016,84,51.34,-32.66,79,65.94,-13.06,81.5,58.64,-22.86
Secrets & Lies,1996,80,31.39,-48.61,91,85.69,-5.31,85.5,58.54,-26.96
Reservoir Dogs,1992,83,46.66,-36.34,79,70.26,-8.74,81.0,58.46,-22.54
The Deer Hunter,1978,81,36.16,-44.84,86,80.63,-5.37,83.5,58.39,-25.11
Kaze no tani no Naushika,1984,81,36.47,-44.53,86,80.27,-5.73,83.5,58.37,-25.13
The Dark Knight Rises,2012,84,51.69,-32.31,78,64.66,-13.34,81.0,58.17,-22.83
"4 luni, 3 saptamâni si 2 zile",2007,79,25.68,-53.32,97,90.31,-6.69,88.0,58.0,-30.0
Avengers: Endgame,2019,84,51.22,-32.78,78,64.71,-13.29,81.0,57.96,-23.04
Mad Max: Fury Road,2015,81,35.58,-45.42,90,80.27,-9.73,85.5,57.92,-27.58
La La Land,2016,80,30.22,-49.78,94,85.56,-8.44,87.0,57.89,-29.11
La dolce vita,1960,80,29.53,-50.47,95,86.16,-8.84,87.5,57.84,-29.66
Le scaphandre et le papillon,2007,80,30.86,-49.14,92,83.74,-8.26,86.0,57.3,-28.7
Rashômon,1950,82,35.94,-46.06,98,78.54,-19.46,90.0,57.24,-32.76
This Is Spinal Tap,1984,79,25.93,-53.07,92,88.55,-3.45,85.5,57.24,-28.26
Au revoir les enfants,1987,80,31.22,-48.78,88,83.16,-4.84,84.0,57.19,-26.81
Fargo,1996,81,36.71,-44.29,85,77.67,-7.33,83.0,57.19,-25.81
Blade Runner,1982,81,36.41,-44.59,84,77.9,-6.1,82.5,57.16,-25.34
Persona,1966,81,35.77,-45.23,86,78.33,-7.67,83.5,57.05,-26.45
Bacheha-Ye aseman,1997,83,47.23,-35.77,77,66.74,-10.26,80.0,56.98,-23.02
Incendies,2010,83,46.45,-36.55,80,67.41,-12.59,81.5,56.93,-24.57
8½,1963,80,30.36,-49.64,91,83.49,-7.51,85.5,56.92,-28.58
Full Metal Jacket,1987,83,47.08,-35.92,76,66.68,-9.32,79.5,56.88,-22.62
Se7en,1995,86,63.09,-22.91,65,50.63,-14.37,75.5,56.86,-18.64
Der Untergang,2004,82,42.03,-39.97,82,71.49,-10.51,82.0,56.76,-25.24
All About Eve,1950,82,35.61,-46.39,98,77.87,-20.13,90.0,56.74,-33.26
Million Dollar Baby,2004,81,36.73,-44.27,86,76.69,-9.31,83.5,56.71,-26.79
Anatomy of a Murder,1959,80,28.81,-51.19,95,84.59,-10.41,87.5,56.7,-30.8
Fa yeung nin wah,2000,81,36.79,-44.21,85,76.6,-8.4,83.0,56.69,-26.31
Kis Uykusu,2014,81,35.68,-45.32,88,77.62,-10.38,84.5,56.65,-27.85
The Grand Budapest Hotel,2014,81,35.66,-45.34,88,77.62,-10.38,84.5,56.64,-27.86
Le charme discret de la bourgeoisie,1972,79,24.78,-54.22,93,88.36,-4.64,86.0,56.57,-29.43
The Incredibles,2004,80,31.31,-48.69,90,81.7,-8.3,85.0,56.51,-28.49
A Clockwork Orange,1971,83,46.23,-36.77,77,66.68,-10.32,80.0,56.45,-23.55
Ben-Hur,1959,81,34.13,-46.87,90,78.49,-11.51,85.5,56.31,-29.19
In the Name of the Father,1993,81,35.99,-45.01,84,76.62,-7.38,82.5,56.31,-26.19
Smultronstället,1957,82,38.63,-43.37,88,73.9,-14.1,85.0,56.27,-28.73
The Night of the Hunter,1955,80,27.12,-52.88,99,85.24,-13.76,89.5,56.18,-33.32
Network,1976,81,36.08,-44.92,83,76.21,-6.79,82.0,56.14,-25.86
Rio Bravo,1959,80,29.21,-50.79,93,82.96,-10.04,86.5,56.08,-30.42
Persepolis,2007,80,30.87,-49.13,90,81.21,-8.79,85.0,56.04,-28.96
The Manchurian Candidate,1962,79,24.86,-54.14,94,87.11,-6.89,86.5,55.98,-30.52
Capharnaüm,2018,84,51.21,-32.79,75,60.75,-14.25,79.5,55.98,-23.52
Jaws,1975,80,30.65,-49.35,87,81.25,-5.75,83.5,55.95,-27.55
Donnie Darko,2001,80,31.59,-48.41,88,80.03,-7.97,84.0,55.81,-28.19
Hannah and Her Sisters,1986,79,25.84,-53.16,90,85.76,-4.24,84.5,55.8,-28.7
The Treasure of the Sierra Madre,1948,82,35.06,-46.94,98,76.52,-21.48,90.0,55.79,-34.21
Det sjunde inseglet,1957,82,38.07,-43.93,88,73.46,-14.54,85.0,55.77,-29.23
Trainspotting,1996,81,36.63,-44.37,83,74.87,-8.13,82.0,55.75,-26.25
Lagaan: Once Upon a Time in India,2001,81,36.77,-44.23,84,74.47,-9.53,82.5,55.62,-26.88
Hauru no ugoku shiro,2004,82,42.04,-39.96,80,68.85,-11.15,81.0,55.44,-25.56
Her,2013,80,30.51,-49.49,90,80.35,-9.65,85.0,55.43,-29.57
Amores perros,2000,81,36.85,-44.15,83,73.98,-9.02,82.0,55.42,-26.58
Amour,2012,79,25.23,-53.77,94,85.54,-8.46,86.5,55.39,-31.11
Aladdin,1992,80,30.93,-49.07,86,79.78,-6.22,83.0,55.36,-27.64
Before Midnight,2013,79,25.24,-53.76,94,85.48,-8.52,86.5,55.36,-31.14
Days of Heaven,1978,78,20.46,-57.54,93,90.19,-2.81,85.5,55.33,-30.17
Room,2015,81,35.56,-45.44,86,75.07,-10.93,83.5,55.31,-28.19
1917,2019,83,45.91,-37.09,78,64.71,-13.29,80.5,55.31,-25.19
Gladiator,2000,85,58.03,-26.97,67,52.49,-14.51,76.0,55.26,-20.74
Patton,1970,79,25.07,-53.93,91,85.44,-5.56,85.0,55.25,-29.75
Dog Day Afternoon,1975,80,30.63,-49.37,86,79.82,-6.18,83.0,55.22,-27.78
Marriage Story,2019,79,24.87,-54.13,94,85.56,-8.44,86.5,55.22,-31.28
The Irishman,2019,79,24.84,-54.16,94,85.59,-8.41,86.5,55.22,-31.28
The Hustler,1961,80,29.8,-50.2,90,80.53,-9.47,85.0,55.16,-29.84
My Fair Lady,1964,78,19.7,-58.3,95,90.22,-4.78,86.5,54.96,-31.54
Jagten,2012,83,46.42,-36.58,77,63.38,-13.62,80.0,54.9,-25.1
Harry Potter and the Deathly Hallows: Part 2,2011,81,35.84,-45.16,85,73.84,-11.16,83.0,54.84,-28.16
Almost Famous,2000,79,26.28,-52.72,90,83.37,-6.63,84.5,54.83,-29.67
Kaguyahime no monogatari,2013,80,30.51,-49.49,89,79.06,-9.94,84.5,54.79,-29.71
The Straight Story,1999,80,31.6,-48.4,86,77.91,-8.09,83.0,54.75,-28.25
Song of the Sea,2014,81,35.67,-45.33,85,73.71,-11.29,83.0,54.69,-28.31
Wo hu cang long,2000,78,21.01,-56.99,94,88.26,-5.74,86.0,54.64,-31.36
Call Me by Your Name,2017,79,24.88,-54.12,93,84.3,-8.7,86.0,54.59,-31.41
El secreto de sus ojos,2009,82,41.4,-40.6,80,67.74,-12.26,81.0,54.57,-26.43
Jules et Jim,1962,78,19.07,-58.93,97,90.05,-6.95,87.5,54.56,-32.94
Manbiki kazoku,2018,79,24.78,-54.22,93,84.25,-8.75,86.0,54.52,-31.48
Double Indemnity,1944,83,39.02,-43.98,95,69.86,-25.14,89.0,54.44,-34.56
Badlands,1973,78,19.95,-58.05,93,88.87,-4.13,85.5,54.41,-31.09
The Terminator,1984,80,31.22,-48.78,84,77.57,-6.43,82.0,54.39,-27.61
Kagemusha,1980,80,30.7,-49.3,84,77.88,-6.12,82.0,54.29,-27.71
Citizen Kane,1941,83,36.98,-46.02,100,71.53,-28.47,91.5,54.25,-37.25
The King's Speech,2010,80,30.61,-49.39,88,77.75,-10.25,84.0,54.18,-29.82
Salinui chueok,2003,81,36.7,-44.3,82,71.58,-10.42,81.5,54.14,-27.36
E.T. the Extra-Terrestrial,1982,78,20.55,-57.45,91,87.55,-3.45,84.5,54.05,-30.45
The Iron Giant,1999,80,31.47,-48.53,85,76.61,-8.39,82.5,54.04,-28.46
Per qualche dollaro in più,1965,83,46.04,-36.96,74,61.97,-12.03,78.5,54.0,-24.5
Ah-ga-ssi,2016,81,35.5,-45.5,84,72.48,-11.52,82.5,53.99,-28.51
Manchester by the Sea,2016,78,19.65,-58.35,96,88.19,-7.81,87.0,53.92,-33.08
The Green Mile,1999,86,63.27,-22.73,61,44.48,-16.52,73.5,53.88,-19.62
Darbareye Elly,2009,80,30.82,-49.18,87,76.89,-10.11,83.5,53.86,-29.64
Being There,1979,80,31.06,-48.94,83,76.63,-6.37,81.5,53.84,-27.66
The Right Stuff,1983,78,20.62,-57.38,91,86.97,-4.03,84.5,53.8,-30.7
Night of the Living Dead,1968,79,25.12,-53.88,89,82.44,-6.56,84.0,53.78,-30.22
Sling Blade,1996,80,31.32,-48.68,84,76.2,-7.8,82.0,53.76,-28.24
Heat,1995,82,41.83,-40.17,76,65.54,-10.46,79.0,53.69,-25.31
The Man Who Would Be King,1975,78,20.31,-57.69,91,87.04,-3.96,84.5,53.68,-30.82
Bom Yeoareum Gaeul Gyeoul Geurigo Bom,2003,80,31.4,-48.6,85,75.8,-9.2,82.5,53.6,-28.9
The Prestige,2006,85,57.48,-27.52,66,49.57,-16.43,75.5,53.52,-21.98
Toy Story 2,1999,79,26.28,-52.72,88,80.65,-7.35,83.5,53.47,-30.03
Dead Poets Society,1989,81,36.48,-44.52,79,70.42,-8.58,80.0,53.45,-26.55
The Bridge on the River Kwai,1957,81,33.61,-47.39,87,73.25,-13.75,84.0,53.43,-30.57
Soul,2020,81,35.42,-45.58,83,71.24,-11.76,82.0,53.33,-28.67
Léon,1994,85,57.26,-27.74,64,49.33,-14.67,74.5,53.3,-21.2
The Third Man,1949,81,30.18,-50.82,97,76.05,-20.95,89.0,53.11,-35.89
Un prophète,2009,79,25.4,-53.6,90,80.7,-9.3,84.5,53.05,-31.45
The Elephant Man,1980,81,36.21,-44.79,78,69.72,-8.28,79.5,52.97,-26.53
"Paris, Texas",1984,81,36.51,-44.49,78,69.38,-8.62,79.5,52.94,-26.56
La vita è bella,1997,86,63.18,-22.82,59,42.38,-16.62,72.5,52.78,-19.72
Letters from Iwo Jima,2006,79,25.68,-53.32,89,79.85,-9.15,84.0,52.77,-31.23
The Bourne Ultimatum,2007,80,30.85,-49.15,85,74.67,-10.33,82.5,52.76,-29.74
The Shining,1980,84,52.15,-31.85,66,53.26,-12.74,75.0,52.7,-22.3
Dunkirk,2017,78,19.62,-58.38,94,85.65,-8.35,86.0,52.64,-33.36
On the Waterfront,1954,81,31.58,-49.42,91,73.28,-17.72,86.0,52.43,-33.57
The Graduate,1967,80,30.43,-49.57,83,74.35,-8.65,81.5,52.39,-29.11
The Nightmare Before Christmas,1993,80,30.79,-49.21,82,73.98,-8.02,81.0,52.39,-28.61
Life of Brian,1979,81,36.26,-44.74,77,68.41,-8.59,79.0,52.33,-26.67
"Monsters, Inc.",2001,81,36.79,-44.21,79,67.83,-11.17,80.0,52.31,-27.69
Good Will Hunting,1997,83,47.18,-35.82,70,57.22,-12.78,76.5,52.2,-24.3
Les triplettes de Belleville,2003,78,20.79,-57.21,91,83.54,-7.46,84.5,52.17,-32.33
Kill Bill: Vol. 2,2004,80,31.47,-48.53,83,72.84,-10.16,81.5,52.16,-29.34
The Artist,2011,79,25.19,-53.81,89,79.12,-9.88,84.0,52.16,-31.84
Festen,1998,80,31.42,-48.58,82,72.86,-9.14,81.0,52.14,-28.86
Hotel Rwanda,2004,81,36.76,-44.24,79,67.53,-11.47,80.0,52.14,-27.86
American History X,1998,85,57.93,-27.07,62,46.17,-15.83,73.5,52.05,-21.45
Ford v Ferrari,2019,81,35.37,-45.63,81,68.63,-12.37,81.0,52.0,-29.0
The French Connection,1971,77,14.42,-62.58,94,89.45,-4.55,85.5,51.94,-33.56
Slumdog Millionaire,2008,80,30.75,-49.25,84,73.1,-10.9,82.0,51.92,-30.08
A Streetcar Named Desire,1951,80,25.8,-54.2,97,78.01,-18.99,88.5,51.91,-36.59
Brazil,1985,79,26.0,-53.0,84,77.82,-6.18,81.5,51.91,-29.59
Before Sunrise,1995,81,36.54,-44.46,77,67.12,-9.88,79.0,51.83,-27.17
Boogie Nights,1997,79,26.07,-52.93,85,77.55,-7.45,82.0,51.81,-30.19
Casino,1995,82,41.93,-40.07,73,61.65,-11.35,77.5,51.79,-25.71
Trois couleurs: Bleu,1993,79,25.44,-53.56,85,77.87,-7.13,82.0,51.66,-30.34
Hable con ella,2002,79,26.12,-52.88,86,77.2,-8.8,82.5,51.66,-30.84
All the President's Men,1976,79,25.57,-53.43,84,77.58,-6.42,81.5,51.58,-29.92
Vozvrashchenie,2003,80,31.44,-48.56,82,71.57,-10.43,81.0,51.5,-29.5
The Killing,1956,80,26.72,-53.28,91,76.24,-14.76,85.5,51.48,-34.02
Chung Hing sam lam,1994,81,36.0,-45.0,77,66.97,-10.03,79.0,51.48,-27.52
The Exorcist,1973,80,30.32,-49.68,81,72.62,-8.38,80.5,51.47,-29.03
Paper Moon,1973,81,35.66,-45.34,77,67.27,-9.73,79.0,51.46,-27.54
Avengers: Infinity War,2018,84,51.17,-32.83,68,51.65,-16.35,76.0,51.41,-24.59
Gravity,2013,77,14.65,-62.35,96,88.15,-7.85,86.5,51.4,-35.1
3 Idiots,2009,84,52.0,-32.0,67,50.65,-16.35,75.5,51.33,-24.17
Die Hard,1988,82,41.6,-40.4,72,60.98,-11.02,77.0,51.29,-25.71
Amélie,2001,83,47.57,-35.43,69,54.89,-14.11,76.0,51.23,-24.77
Roma,2018,77,14.19,-62.81,96,88.21,-7.79,86.5,51.2,-35.3
Manhattan,1979,79,25.7,-53.3,83,76.64,-6.36,81.0,51.17,-29.83
Gandhi,1982,80,31.11,-48.89,79,71.2,-7.8,79.5,51.16,-28.34
Der Himmel über Berlin,1987,80,31.23,-48.77,79,70.89,-8.11,79.5,51.06,-28.44
Young Frankenstein,1974,80,30.55,-49.45,80,71.55,-8.45,80.0,51.05,-28.95
Braveheart,1995,83,47.17,-35.83,68,54.91,-13.09,75.5,51.04,-24.46
Mulholland Dr.,2001,79,26.2,-52.8,85,75.82,-9.18,82.0,51.01,-30.99
Ying xiong,2002,79,26.13,-52.87,85,75.86,-9.14,82.0,50.99,-31.01
Stand by Me,1986,81,36.47,-44.53,75,65.38,-9.62,78.0,50.92,-27.08
Central do Brasil,1998,80,31.48,-48.52,80,70.35,-9.65,80.0,50.91,-29.09
The Searchers,1956,79,21.53,-57.47,94,80.27,-13.73,86.5,50.9,-35.6
The Wolf of Wall Street,2013,82,41.0,-41.0,75,60.67,-14.33,78.5,50.84,-27.66
The Social Network,2010,77,14.74,-62.26,95,86.92,-8.08,86.0,50.83,-35.17
Gone Girl,2014,81,35.64,-45.36,79,65.91,-13.09,80.0,50.77,-29.23
After Hours,1985,77,15.32,-61.68,90,85.91,-4.09,83.5,50.61,-32.89
Little Women,2019,78,19.59,-58.41,91,81.61,-9.39,84.5,50.6,-33.9
Requiem for a Dream,2000,83,47.49,-35.51,68,53.66,-14.34,75.5,50.58,-24.92
A Beautiful Mind,2001,82,42.23,-39.77,72,58.92,-13.08,77.0,50.58,-26.42
Modern Times,1936,85,45.31,-39.69,96,55.74,-40.26,90.5,50.53,-39.97
